"rules","support","confidence","coverage","lift","count"
"{COMP8110} => {COMP8400}",0.615658362989324,0.819905213270142,0.750889679715303,1.03780795013023,173
"{COMP8400} => {COMP8110}",0.615658362989324,0.779279279279279,0.790035587188612,1.03780795013023,173
"{COMP8100} => {COMP8110}",0.597864768683274,0.844221105527638,0.708185053380783,1.12429445807235,168
"{COMP8110} => {COMP8100}",0.597864768683274,0.796208530805687,0.750889679715302,1.12429445807235,168
"{COMP8100} => {COMP8400}",0.572953736654804,0.809045226130653,0.708185053380783,1.0240617501924,161
"{COMP8400} => {COMP8100}",0.572953736654804,0.725225225225225,0.790035587188612,1.0240617501924,161
"{COMP8180} => {COMP8110}",0.498220640569395,0.853658536585366,0.583629893238434,1.13686279042885,140
"{COMP8110} => {COMP8180}",0.498220640569395,0.663507109004739,0.750889679715303,1.13686279042885,140
"{COMP8180} => {COMP8400}",0.491103202846975,0.841463414634146,0.583629893238434,1.06509558338827,138
"{COMP8400} => {COMP8180}",0.491103202846975,0.621621621621622,0.790035587188612,1.06509558338827,138
"{COMP8100,COMP8110} => {COMP8400}",0.491103202846975,0.821428571428571,0.597864768683274,1.03973616473616,138
"{COMP8100,COMP8400} => {COMP8110}",0.491103202846975,0.857142857142857,0.572953736654804,1.14150304671632,138
"{COMP8110,COMP8400} => {COMP8100}",0.491103202846975,0.797687861271676,0.615658362989324,1.12638336189619,138
"{COMP8180} => {COMP8100}",0.480427046263345,0.823170731707317,0.583629893238434,1.16236671160681,135
"{COMP8100} => {COMP8180}",0.480427046263345,0.678391959798995,0.708185053380783,1.16236671160681,135
"{COMP8420} => {COMP8400}",0.434163701067616,0.859154929577465,0.505338078291815,1.08748889734805,122
"{COMP8400} => {COMP8420}",0.434163701067616,0.54954954954955,0.790035587188612,1.08748889734805,122
"{COMP8100,COMP8180} => {COMP8110}",0.430604982206406,0.896296296296296,0.480427046263345,1.1936457784799,121
"{COMP8110,COMP8180} => {COMP8100}",0.430604982206406,0.864285714285714,0.498220640569395,1.22042354630294,121
"{COMP8100,COMP8110} => {COMP8180}",0.430604982206406,0.720238095238095,0.597864768683274,1.23406649245064,121
"{COMP8110,COMP8180} => {COMP8400}",0.412811387900356,0.828571428571429,0.498220640569395,1.04877734877735,116
"{COMP8180,COMP8400} => {COMP8110}",0.412811387900356,0.840579710144927,0.491103202846975,1.11944501682808,116
"{COMP8110,COMP8400} => {COMP8180}",0.412811387900356,0.670520231213873,0.615658362989324,1.14887917665304,116
"{COMP8100,COMP8180} => {COMP8400}",0.391459074733096,0.814814814814815,0.480427046263345,1.03136469803136,110
"{COMP8180,COMP8400} => {COMP8100}",0.391459074733096,0.797101449275362,0.491103202846975,1.12555531279586,110
"{COMP8100,COMP8400} => {COMP8180}",0.391459074733096,0.683229813664596,0.572953736654804,1.170655961218,110
"{COMP8440} => {COMP8400}",0.380782918149466,0.84251968503937,0.451957295373666,1.06643257430659,107
"{COMP8400} => {COMP8440}",0.380782918149466,0.481981981981982,0.790035587188612,1.06643257430659,107
"{COMP6390} => {COMP8400}",0.370106761565836,0.904347826086957,0.409252669039146,1.14469251860556,104
"{COMP8400} => {COMP6390}",0.370106761565836,0.468468468468468,0.790035587188612,1.14469251860556,104
"{COMP8440} => {COMP8110}",0.370106761565836,0.818897637795276,0.451957295373665,1.09056983990745,104
"{COMP8110} => {COMP8440}",0.370106761565836,0.492890995260663,0.750889679715303,1.09056983990745,104
"{COMP8420} => {COMP8110}",0.362989323843416,0.71830985915493,0.505338078291815,0.956611708163674,102
"{COMP8110} => {COMP8420}",0.362989323843416,0.483412322274882,0.750889679715303,0.956611708163674,102
"{COMP8173} => {COMP8110}",0.352313167259786,0.916666666666667,0.384341637010676,1.22077409162717,99
"{COMP8110} => {COMP8173}",0.352313167259786,0.469194312796209,0.750889679715302,1.22077409162717,99
"{COMP8100,COMP8110,COMP8180} => {COMP8400}",0.348754448398576,0.809917355371901,0.430604982206406,1.0251656615293,98
"{COMP8100,COMP8180,COMP8400} => {COMP8110}",0.348754448398576,0.890909090909091,0.391459074733096,1.18647134855666,98
"{COMP8110,COMP8180,COMP8400} => {COMP8100}",0.348754448398576,0.844827586206897,0.412811387900356,1.1929474961012,98
"{COMP8100,COMP8110,COMP8400} => {COMP8180}",0.348754448398576,0.710144927536232,0.491103202846975,1.21677271120537,98
"{COMP8440} => {COMP8100}",0.345195729537367,0.763779527559055,0.451957295373665,1.07850274997032,97
"{COMP8100} => {COMP8440}",0.345195729537367,0.487437185929648,0.708185053380783,1.07850274997032,97
"{COMP8420} => {COMP8100}",0.341637010676157,0.676056338028169,0.505338078291815,0.954632316512138,96
